Datetime,valueBVP
53:17.9,-82.59144
53:17.9,-47.54321
53:17.9,-13.04065
53:17.9,19.28152
53:18.0,49.6554
53:18.0,78.2144
53:18.0,103.5225
53:18.0,122.6803
53:18.0,132.1196
53:18.0,132.7952
53:18.1,127.1442
53:18.1,117.2851
53:18.1,104.5525
53:18.1,90.49887
53:18.1,76.3168
53:18.1,62.34097
53:18.1,48.06786
53:18.2,32.38976
53:18.2,16.6572
53:18.2,2.777008
53:18.2,-7.631805
53:18.2,-13.58009
53:18.2,-14.59826
53:18.3,-11.38174
53:18.3,-6.11586
53:18.3,-1.850662
53:18.3,-1.428764
53:18.3,-4.919899
53:18.3,-9.951416
53:18.3,-12.3856
53:18.4,-7.540482
53:18.4,8.197701
53:18.4,35.46371
53:18.4,70.59355
53:18.4,106.2515
53:18.4,133.3166
53:18.5,144.2257
53:18.5,135.086
53:18.5,106.5882
53:18.5,63.10217
53:18.5,10.58568
53:18.5,-45.33409
53:18.6,-99.99795
53:18.6,-149.1901
53:18.6,-188.3452
53:18.6,-212.5955
53:18.6,-218.1009
53:18.6,-203.7142
53:18.6,-172.2139
53:18.7,-129.8626
53:18.7,-84.5487
53:18.7,-43.41896
53:18.7,-11.06734
53:18.7,11.04114
53:18.7,23.97182
53:18.8,30.16582
53:18.8,32.39529
53:18.8,33.06216
53:18.8,33.82349
53:18.8,35.5341
53:18.8,38.32595
53:18.8,41.81958
53:18.9,45.39179
53:18.9,48.48606
53:18.9,50.68387
53:18.9,51.6314
53:18.9,51.29489
53:18.9,50.27594
53:19.0,50.03212
53:19.0,52.72995
53:19.0,60.51963
53:19.0,74.48731
53:19.0,93.88991
53:19.0,116.0584
53:19.1,137.158
53:19.1,153.5147
53:19.1,162.9251
53:19.1,165.3377
53:19.1,162.4734
53:19.1,156.8128
53:19.1,150.4102
53:19.2,144.1436
53:19.2,137.6794
53:19.2,130.0064
53:19.2,120.16
53:19.2,107.7411
53:19.2,92.94726
53:19.3,76.36357
53:19.3,58.62311
53:19.3,40.2237
53:19.3,21.53743
53:19.3,2.878624
53:19.3,-15.42088
53:19.3,-33.00275
53:19.4,-49.56001
