Subject,Time,Valence,Arousal,Dominance,emo_similarity,emo_spheric,fear_metric,fear_spheric,emo_cubic,fear_cubic
4,155.0,4.647199999999999,5.0085,7.099,0.5571908535868101,Sadness,0.34376482688815946,Low Fear,Admiration,Low Fear
4,160.0,4.513499999999999,4.434399999999999,4.413900000000002,0.8920729956379518,Sadness,0.5998381708233705,Medium Fear,Admiration,Medium Fear
4,165.0,4.6027999999999984,4.5422,4.4703,0.8755405333838567,Sadness,0.6092315398659934,Medium Fear,Admiration,Medium Fear
4,170.0,4.8119,5.104699999999999,7.248999999999998,0.5231711019765289,Admiration,0.33337030185320016,Low Fear,Admiration,Low Fear
4,175.0,4.6046,5.367599999999999,6.819699999999999,0.5968337375992633,Admiration,0.3958400329470387,Low Fear,Admiration,Low Fear
4,180.0,4.9624000000000015,4.8580000000000005,7.065799999999999,0.5306604043643105,Sadness,0.29317293554757534,Low Fear,Admiration,Low Fear
4,185.0,4.7693,5.0169000000000015,7.263799999999999,0.5332176698980253,Sadness,0.3290752751884346,Low Fear,Admiration,Low Fear
4,190.0,4.930400000000001,5.095799999999999,7.069399999999999,0.5231090041619192,Admiration,0.3220653545793446,Low Fear,Admiration,Low Fear
4,195.0,4.324699999999998,4.3377,7.0299999999999985,0.7111645731362461,Sadness,0.32594009261650303,Low Fear,Admiration,Low Fear
4,200.0,5.005199999999999,5.019799999999999,7.102699999999999,0.5047080091523725,Admiration,0.3056574086211078,Low Fear,Admiration,Low Fear
4,205.0,4.489999999999999,5.343700000000001,7.0149,0.5815743004075917,Admiration,0.39690933542831575,Low Fear,Admiration,Low Fear
4,210.0,4.379499999999999,4.6191,4.6160000000000005,0.9301187491903384,Sadness,0.6440979207386152,Medium Fear,Admiration,Medium Fear
4,215.0,4.7839,5.024100000000001,7.180299999999999,0.5309806781506368,Sadness,0.3291979484866692,Low Fear,Admiration,Low Fear
6,0.0,3.9404999999999983,4.1402,4.974,0.9972250038626069,Sadness,0.5304395534339112,Medium Fear,Admiration,Medium Fear
6,5.0,4.050599999999999,3.6309000000000013,5.423200000000003,0.9768603322096839,Sadness,0.40863616198923935,Low Fear,Admiration,Medium Fear
6,10.0,4.244600000000001,3.8148,5.239199999999999,0.9812502475072952,Sadness,0.4126712151567455,Low Fear,Admiration,Medium Fear
6,15.0,4.4559000000000015,3.8252000000000015,5.3012000000000015,0.9571903091148504,Sadness,0.36735425499979235,Low Fear,Admiration,Medium Fear
6,20.0,4.331300000000002,3.935199999999999,5.266400000000001,0.9768517008235347,Sadness,0.4038145592835399,Low Fear,Admiration,Medium Fear
6,25.0,4.208100000000001,4.360000000000001,5.2482000000000015,0.9830648685236872,Sadness,0.48310502789656445,Low Fear,Admiration,Medium Fear
6,30.0,4.501500000000001,3.5959000000000008,5.894900000000003,0.8870243347559358,Sadness,0.2959255747932574,Low Fear,Admiration,Medium Fear
6,35.0,4.323400000000001,3.7294000000000005,5.15,0.9756674300179775,Sadness,0.40408365953840863,Low Fear,Admiration,Medium Fear
6,40.0,4.658199999999999,3.0371000000000006,5.197100000000001,0.9069773383615725,Sadness,0.3243261502013474,Low Fear,Admiration,Medium Fear
6,45.0,4.1322,3.507299999999999,7.005600000000005,0.8153526158030918,Sadness,0.30544065369681406,Low Fear,Admiration,Low Fear
6,50.0,4.651399999999999,3.2908000000000004,5.4595,0.9033179985310469,Sadness,0.30205982532177333,Low Fear,Admiration,Medium Fear
6,55.0,4.557399999999999,3.1312,5.511300000000001,0.9111933545959108,Sadness,0.3097026764142822,Low Fear,Admiration,Medium Fear
6,60.0,3.9584999999999995,3.8133000000000004,4.3759999999999994,0.9640186448705754,Sadness,0.5520604380602372,Medium Fear,Admiration,Medium Fear
6,65.0,4.2084,3.1154,6.700200000000006,0.8558719264417517,Sadness,0.29255581308759165,Low Fear,Admiration,Low Fear
6,70.0,3.7318000000000016,3.7193000000000014,7.047700000000001,0.8303502739666185,Sadness,0.3563844183594944,Low Fear,Admiration,Low Fear
6,75.0,4.392799999999999,3.256499999999999,5.0961,0.9495562277567635,Sadness,0.37424358641343025,Low Fear,Admiration,Medium Fear
6,80.0,4.4316,3.8856,4.7505,0.9664068113791027,Sadness,0.45715464154603896,Low Fear,Admiration,Medium Fear
6,85.0,4.242200000000003,4.190400000000001,5.8197,0.901858220041834,Sadness,0.3811115305802405,Low Fear,Admiration,Medium Fear
6,90.0,4.2624,3.4125000000000005,6.989000000000002,0.8102543274749623,Sadness,0.2876997244268914,Low Fear,Admiration,Low Fear
6,95.0,3.9850000000000008,3.2411000000000003,6.911000000000001,0.8516990262889956,Sadness,0.3147482241019437,Low Fear,Admiration,Low Fear
6,100.0,4.2852000000000015,4.091400000000002,5.222400000000001,0.9875352491223619,Sadness,0.43456957309361793,Low Fear,Admiration,Medium Fear
6,105.0,4.076900000000001,3.7113,4.9315999999999995,0.9928476414046268,Sadness,0.4655094362674575,Low Fear,Admiration,Medium Fear
6,110.0,4.004700000000001,3.8632999999999993,5.636900000000002,0.9597261993446685,Sadness,0.4116337703954195,Low Fear,Admiration,Medium Fear
6,115.0,4.2851,4.0061,4.6236000000000015,0.9716777539978978,Sadness,0.5139793579313447,Medium Fear,Admiration,Medium Fear
6,120.0,4.5152,3.504600000000001,5.417900000000003,0.9304056423491222,Sadness,0.33074338927240504,Low Fear,Admiration,Medium Fear
