Datetime,valueEDA
2024-04-30 10:20:28.704000,2.35606
2024-04-30 10:20:28.954000,2.349658
2024-04-30 10:20:29.204000,2.348378
2024-04-30 10:20:29.454000,2.348378
2024-04-30 10:20:29.704000,2.340695
2024-04-30 10:20:29.954000,2.336854
2024-04-30 10:20:30.204000,2.338135
2024-04-30 10:20:30.454000,2.336854
2024-04-30 10:20:30.704000,2.330452
2024-04-30 10:20:30.954000,2.343256
2024-04-30 10:20:31.204000,2.32277
2024-04-30 10:20:31.454000,2.317648
2024-04-30 10:20:31.704000,2.32405
2024-04-30 10:20:31.954000,2.315087
2024-04-30 10:20:32.204000,2.312526
2024-04-30 10:20:32.454000,2.318928
2024-04-30 10:20:32.704000,2.309966
2024-04-30 10:20:32.954000,2.312526
2024-04-30 10:20:33.204000,2.309966
2024-04-30 10:20:33.454000,2.307405
2024-04-30 10:20:33.704000,2.302283
2024-04-30 10:20:33.954000,2.297162
2024-04-30 10:20:34.204000,2.301003
2024-04-30 10:20:34.454000,2.295881
2024-04-30 10:20:34.704000,2.295881
2024-04-30 10:20:34.954000,2.301003
2024-04-30 10:20:35.204000,2.297162
2024-04-30 10:20:35.454000,2.29332
2024-04-30 10:20:35.704000,2.29204
2024-04-30 10:20:35.954000,2.29076
2024-04-30 10:20:36.204000,2.281797
2024-04-30 10:20:36.454000,2.281797
2024-04-30 10:20:36.704000,2.281797
2024-04-30 10:20:36.954000,2.280516
2024-04-30 10:20:37.204000,2.279236
2024-04-30 10:20:37.454000,2.283077
2024-04-30 10:20:37.704000,2.279236
2024-04-30 10:20:37.954000,2.277956
2024-04-30 10:20:38.204000,2.277956
2024-04-30 10:20:38.454000,2.284358
2024-04-30 10:20:38.704000,2.274114
2024-04-30 10:20:38.954000,2.271554
2024-04-30 10:20:39.204000,2.271554
2024-04-30 10:20:39.454000,2.270273
2024-04-30 10:20:39.704000,2.266432
2024-04-30 10:20:39.954000,2.270273
2024-04-30 10:20:40.204000,2.262591
2024-04-30 10:20:40.454000,2.262591
2024-04-30 10:20:40.704000,2.254908
