Datetime,valueEDA
2024-05-02 12:31:13.121000,20.82989
2024-05-02 12:31:13.371000,20.79914
2024-05-02 12:31:13.621000,20.78249
2024-05-02 12:31:13.871000,20.76968
2024-05-02 12:31:14.121000,20.78121
2024-05-02 12:31:14.371000,20.75687
2024-05-02 12:31:14.621000,20.77865
2024-05-02 12:31:14.871000,20.84911
2024-05-02 12:31:15.121000,20.94136
2024-05-02 12:31:15.371000,21.02079
2024-05-02 12:31:15.621000,21.07844
2024-05-02 12:31:15.871000,21.08741
2024-05-02 12:31:16.121000,21.09766
2024-05-02 12:31:16.371000,21.07972
2024-05-02 12:31:16.621000,21.04001
2024-05-02 12:31:16.871000,21.00541
2024-05-02 12:31:17.121000,20.9657
2024-05-02 12:31:17.371000,20.94136
2024-05-02 12:31:17.621000,20.92214
2024-05-02 12:31:17.871000,20.88626
2024-05-02 12:31:18.121000,20.84783
2024-05-02 12:31:18.371000,20.83246
2024-05-02 12:31:18.621000,20.82605
2024-05-02 12:31:18.871000,20.81068
2024-05-02 12:31:19.121000,20.79274
2024-05-02 12:31:19.371000,20.8158
2024-05-02 12:31:19.621000,20.79018
2024-05-02 12:31:19.871000,20.77608
2024-05-02 12:31:20.121000,20.76712
2024-05-02 12:31:20.371000,20.7543
2024-05-02 12:31:20.621000,20.73637
2024-05-02 12:31:20.871000,20.70049
2024-05-02 12:31:21.121000,20.65693
2024-05-02 12:31:21.371000,20.55572
2024-05-02 12:31:21.621000,20.59928
2024-05-02 12:31:21.871000,20.59031
2024-05-02 12:31:22.121000,20.56213
2024-05-02 12:31:22.371000,20.5301
2024-05-02 12:31:22.621000,20.58775
2024-05-02 12:31:22.871000,20.60184
2024-05-02 12:31:23.121000,20.60184
2024-05-02 12:31:23.371000,20.60825
2024-05-02 12:31:23.621000,20.62491
2024-05-02 12:31:23.871000,20.64156
2024-05-02 12:31:24.121000,20.64412
2024-05-02 12:31:24.371000,20.61978
2024-05-02 12:31:24.621000,20.62106
2024-05-02 12:31:24.871000,20.639
2024-05-02 12:31:25.121000,20.49807
2024-05-02 12:31:25.371000,20.47187
2024-05-02 12:31:25.621000,20.43984
2024-05-02 12:31:25.871000,20.42831
2024-05-02 12:31:26.121000,20.40397
2024-05-02 12:31:26.371000,20.42447
2024-05-02 12:31:26.621000,20.40653
2024-05-02 12:31:26.871000,20.39244
2024-05-02 12:31:27.121000,20.46034
2024-05-02 12:31:27.371000,20.46418
2024-05-02 12:31:27.621000,20.47571
2024-05-02 12:31:27.871000,20.47187
2024-05-02 12:31:28.121000,20.46547
2024-05-02 12:31:28.371000,20.48212
2024-05-02 12:31:28.621000,20.45265
2024-05-02 12:31:28.871000,20.44753
2024-05-02 12:31:29.121000,20.42831
2024-05-02 12:31:29.371000,20.42062
2024-05-02 12:31:29.621000,20.41678
2024-05-02 12:31:29.871000,20.40269
2024-05-02 12:31:30.121000,20.395
2024-05-02 12:31:30.371000,20.38475
2024-05-02 12:31:30.621000,20.3745
2024-05-02 12:31:30.871000,20.35657
2024-05-02 12:31:31.121000,20.34888
2024-05-02 12:31:31.371000,20.33222
2024-05-02 12:31:31.621000,20.31813
2024-05-02 12:31:31.871000,20.3066
2024-05-02 12:31:32.121000,20.29123
2024-05-02 12:31:32.371000,20.27457
2024-05-02 12:31:32.621000,20.25663
2024-05-02 12:31:32.871000,20.26688
2024-05-02 12:31:33.121000,20.24767
2024-05-02 12:31:33.371000,20.2246
2024-05-02 12:31:33.621000,20.21307
2024-05-02 12:31:33.871000,20.29123
2024-05-02 12:31:34.121000,20.44369
2024-05-02 12:31:34.371000,20.6948
2024-05-02 12:31:34.621000,20.96897
2024-05-02 12:31:34.871000,21.12911
2024-05-02 12:31:35.121000,21.44102
2024-05-02 12:31:35.371000,21.50764
2024-05-02 12:31:35.621000,21.63643
2024-05-02 12:31:35.871000,21.61721
2024-05-02 12:31:36.121000,21.56724
2024-05-02 12:31:36.371000,21.48909
2024-05-02 12:31:36.621000,21.35969
2024-05-02 12:31:36.871000,21.2572
2024-05-02 12:31:37.121000,21.16111
2024-05-02 12:31:37.371000,21.0663
2024-05-02 12:31:37.621000,20.99071
2024-05-02 12:31:37.871000,20.90676
2024-05-02 12:31:38.121000,20.82605
2024-05-02 12:31:38.371000,20.77224
2024-05-02 12:31:38.621000,20.71459
2024-05-02 12:31:38.871000,20.67103
2024-05-02 12:31:39.121000,20.62362
2024-05-02 12:31:39.371000,20.58903
2024-05-02 12:31:39.621000,20.53907
2024-05-02 12:31:39.871000,20.49423
2024-05-02 12:31:40.121000,20.43984
2024-05-02 12:31:40.371000,20.4155
2024-05-02 12:31:40.621000,20.40525
2024-05-02 12:31:40.871000,20.41037
2024-05-02 12:31:41.121000,20.42447
2024-05-02 12:31:41.371000,20.29763
2024-05-02 12:31:41.621000,20.29379
2024-05-02 12:31:41.871000,20.47315
2024-05-02 12:31:42.121000,20.77039
2024-05-02 12:31:42.371000,21.04456
2024-05-02 12:31:42.621000,21.40642
2024-05-02 12:31:42.871000,21.56529
2024-05-02 12:31:43.121000,21.81579
2024-05-02 12:31:43.371000,21.83757
2024-05-02 12:31:43.621000,21.80682
2024-05-02 12:31:43.871000,21.67614
2024-05-02 12:31:44.121000,21.54674
2024-05-02 12:31:44.371000,21.42119
2024-05-02 12:31:44.621000,21.29948
2024-05-02 12:31:44.871000,21.19314
2024-05-02 12:31:45.121000,21.09577
2024-05-02 12:31:45.371000,21.02658
2024-05-02 12:31:45.621000,20.97149
2024-05-02 12:31:45.871000,20.91061
2024-05-02 12:31:46.121000,20.91189
2024-05-02 12:31:46.371000,20.93495
2024-05-02 12:31:46.621000,20.97979
