FP1_Theta,FP1_Alpha,FP1_Beta,FP2_Theta,FP2_Alpha,FP2_Beta,C3_Theta,C3_Alpha,C3_Beta,C4_Theta,C4_Alpha,C4_Beta,T5_Theta,T5_Alpha,T5_Beta,T6_Theta,T6_Alpha,T6_Beta,O1_Theta,O1_Alpha,O1_Beta,O2_Theta,O2_Alpha,O2_Beta,Subject,Scene
0.0007484712251486858,0.0007968444871779331,0.0011751271072705013,-0.0008486169053037721,-0.0009784527595995502,-0.0005822943169896077,-0.0008076419561897848,-0.0026132417956244553,-0.002242694428945702,-0.002015867518519234,-0.0007166042402493855,-0.005780371979409992,-0.003306828154132341,-0.0008920673007816395,-0.0017825006693767875,-0.0018768768502169146,-0.0041054348994031846,-0.006656110124394642,-0.0018323643945816288,-0.0006718493665641813,-0.0019161048101137416,-0.0005707231558016218,-0.0013183808553547177,-0.0003681630931804897,1,1
0.007458870108339198,0.0049693764721505254,0.00765323521617748,-9.939376207158219e-05,-0.0005944800969735403,-0.0001262535614921605,-0.000692517800429725,-0.0025192659453311074,-0.0021395423334344167,0.0010508011702466701,0.0012430526227486358,-0.002786246715330588,-0.003276812010553991,-0.0008805354988685198,-0.0017620185351612675,-0.0009255291846217678,-0.0032987011162788544,-0.00535713789976279,-0.0018138040838701541,-0.0006578274048288574,-0.0019025039941220159,-0.00048238275129364015,-0.0012167928943863852,-0.0002576532693038032,1,1
0.007372975273683902,0.012791559497986464,0.0009545726544457692,-0.00010898401134401613,0.000125347685005507,-0.0005978207357529884,-0.0006939914192854854,-0.0023430908306403485,-0.002246206357675609,0.0010115470208969298,0.004916791902742291,-0.005882310330574856,-0.0032771962249255205,-0.0008589170030709854,-0.00178319800659755,-0.0009377066798586064,-0.001786329413088502,-0.006700335089990153,-0.0018140416606293845,-0.0006315406438237956,-0.001916567865141336,-0.0004835135312324477,-0.001026347470174277,-0.0003719255240208718,1,1
0.01505913360736193,0.01054600226459815,0.08255622368706247,0.0007491837080986865,-8.129724739746745e-05,0.005146708062028921,-0.000562127054050835,-0.0023936663927092037,-0.0009468484032094993,0.004524140163136575,0.0038621513009389477,0.03183326354374106,-0.003242815432348853,-0.0008651231439210326,-0.0015251942899938398,0.00015197649925316904,-0.0022204943011334454,0.009662201069269148,-0.0017927824941723688,-0.0006390869293201024,-0.0017452448458799136,-0.00038232754391196355,-0.0010810196887216241,0.0010201142400668131,1,1
0.00894933302966345,-0.0005384980141912828,-0.005573634112094869,6.701800185230657e-05,-0.0011013361832891023,-0.0010573882971163186,-0.0006669472958299591,-0.0026433170466833135,-0.0023501561832387817,0.001731946367746436,-0.0013437565560808634,-0.00889959075878584,-0.0032701450523264105,-0.0008957578429434265,-0.0018038385400575073,-0.000714223054309436,-0.004363615282867215,-0.008009352958144728,-0.0018096816083802223,-0.0006763368388052896,-0.0019302738634814857,-0.0004627612504460918,-0.0013508922231278936,-0.00048328997917858275,1,1
0.030119418440892828,0.003169578608164439,0.002891214875749004,0.0024306804622200406,-0.0007601045141167004,-0.0004614865210593631,-0.0003037515674149591,-0.002559801892145515,-0.002215368850794884,0.011406727136998033,0.0003977658163530516,-0.004987211128033614,-0.003175449590204041,-0.0008855096758253059,-0.0017770748352584646,0.0022871054340570345,-0.003646681130548836,-0.00631200497690375,-0.0017511272109650344,-0.0006638756980165471,-0.0019125018764219485,-0.0001840633755133719,-0.0012606122817070704,-0.0003388884108406941,1,1
0.0550686098831676,0.0625590917143876,0.0808012881325198,0.005216284113935814,0.004705150051117765,0.005023165490234493,0.0001242788152323144,-0.0012222016022573022,-0.0009747925617346199,0.022808568597976704,0.028290438027829212,0.031022147583294975,-0.0030638498886764523,-0.0007213723838106707,-0.0015307429509552,0.005824205903084473,0.007835921461512095,0.009310306271738029,-0.0016821201737934465,-0.000464294848006565,-0.0017489293406665837,0.00014438530578318525,0.00018533458247436312,0.0009901768546779688,1,1
0.0015728497181529718,0.005320077835748992,0.004322285731404309,-0.0007565741733448904,-0.0005622071900546349,-0.00036074312141027697,-0.0007934988508862097,-0.002511367273981954,-0.002192581648867315,-0.0016391245325658988,0.0014077618056891569,-0.00432578261656226,-0.003303140644099076,-0.0008795662507788104,-0.0017725501523039955,-0.001760002940254542,-0.0032308951320894003,-0.006025050628236887,-0.0018300842438424023,-0.0006566488587760855,-0.001909497336971272,-0.0005598704582485544,-0.0012082544250433215,-0.0003144758222337671,1,1
0.016988493247469226,0.009775035765252378,0.03038914720235893,0.0009645987555717051,-0.00015224459078849663,0.0014742912742517593,-0.0005290268012058344,-0.002411030485443378,-0.001777514265160775,0.00540586223371213,0.0035000618557250026,0.007722094197673472,-0.0032341852544742295,-0.0008672538964195299,-0.0016901333500139182,0.0004255059602668713,-0.0023695560034557406,-0.0007981960489570859,-0.0017874460730418354,-0.0006416777932827738,-0.001854769848576634,-0.0003569280983626512,-0.0010997902853102566,0.00013019787288576928,1,1
0.018854989309226005,0.012675181930057011,0.01615264920441884,0.0011729950179345848,0.00011463816742997247,0.0004720814942557516,-0.000497005041086978,-0.002345711944376704,-0.002004204616192605,0.006258855495355006,0.004862134418865683,0.0011421085581921672,-0.003225836270344761,-0.000859238640643885,-0.001735145544600775,0.0006901231167291484,-0.0018088303108618788,-0.0036528590407536084,-0.0017822835264554066,-0.0006319317353265759,-0.001884659437694649,-0.00033235623311612706,-0.0010291808959864658,-0.00011266205781044493,1,1
