,FP1_Theta,FP1_Alpha,FP1_Beta,FP2_Theta,FP2_Alpha,FP2_Beta,C3_Theta,C3_Alpha,C3_Beta,C4_Theta,C4_Alpha,C4_Beta,P7_Theta,P7_Alpha,P7_Beta,P8_Theta,P8_Alpha,P8_Beta,O1_Theta,O1_Alpha,O1_Beta,O2_Theta,O2_Alpha,O2_Beta,Subject,Scene,Second
20,1338.0389768414918,317.04461018651375,222.75302170352032,1471.8848591749952,354.3975425053744,275.03962918470785,1135.6809952492888,268.8009251842107,198.7266989771963,1121.861042155673,258.01192049842314,145.0244424116145,1371.475976407094,247.62499490324024,186.05983037426867,1469.28723000219,371.34200787310584,290.151204904013,5147.710619462893,1606.3935530899196,1520.0477987898364,6689.763148076013,1200.150824393048,684.5933527609943,001,000,42
21,79.4161096649744,15.982837169311379,38.16367609146541,157.1544545096103,28.61921265678688,117.03467014430669,62.464700789778874,16.084177510605407,47.60615998764591,54.86839282586259,11.530658858123205,20.82593826759403,123.68005235645339,29.819154618234485,60.68789224266636,85.39887950751583,28.327367289806432,65.30429298160978,171.01791093615876,19.925171516964756,41.90121929117909,296.23441602145124,45.08179166796758,53.99822003227633,001,000,44
22,109.2361519966152,38.543198775139146,119.10262385703108,105.90328537561216,34.179999140416605,150.14901330073977,72.1070036291633,28.437765800174667,61.01695370578736,127.9050888635085,35.413804379759156,103.59271693759915,37.75584498472178,60.656874322143814,222.86410566100716,108.65943882296763,33.212261879772356,150.2830384394109,1327.0414938648883,666.4558088488037,874.3894933422791,231.35692767309737,60.73021365750606,197.87999615425852,001,000,46
23,14.324407154151245,7.657131570269149,36.16966069433255,24.08003286996565,15.928605913747468,81.70810433871826,24.21560635293383,12.46693698448389,69.49591470912732,19.9338853539681,9.135148037431424,30.786708448378775,35.90571445573622,9.386638028078895,55.416886570617315,12.404668972792937,10.546394651266478,61.890340659293614,22.30542598439291,9.6903397478379,31.472857121597084,19.50446916256842,5.2141859238112716,27.003335231330897,001,000,48
24,105.6273284511183,16.48642232110233,36.60854557082531,106.0930251396103,21.042009828929984,52.914701305936255,100.98361675994558,10.292793779546527,19.90029544559374,81.11705531272511,11.516014532261826,20.697165700576928,157.35858249569873,40.95792920566236,89.62874721671,111.9092093360824,16.39238584465488,50.365411842649905,292.8514894161882,37.15886059803338,71.60141861145512,527.7319193658516,27.351542321144088,38.35779543490659,001,000,50
25,257.89543653601754,29.22336539232578,26.410438941284518,331.4300007840147,38.83137213268102,37.381194440015335,74.83153044070798,17.918847016131316,12.66143757828463,68.57642719617283,14.242421372550476,15.757430271528268,884.7329748594972,80.2557620995071,90.06192468984379,265.9646237275954,32.40124986001244,36.78444303235594,237.5155835935911,38.77368629989998,46.01486456715122,798.528288358167,118.66420324981353,61.903461365469795,001,000,52
26,67.91403263183689,9.676109195485381,25.45430406434151,105.79449681313525,18.62953424696874,52.149894325768884,175.85792328724102,37.27722450784891,44.647948088077904,74.38214167328455,15.655261837943861,11.290598307345352,56.752635406827615,9.484151393450508,19.428459370225934,63.79012597779112,17.70055183328914,45.0457490369399,238.42141135841098,33.93491178642974,33.0438201504514,33.18675061657929,9.105600183123189,15.28229519272524,001,000,54
27,79.35946374622903,18.83296507624145,69.19677599293573,97.75778256076582,29.269060460608458,102.03328510811953,69.18937777016777,11.179148606135623,24.561540491127055,59.474558219047196,5.731740406280387,30.888716122845317,106.58313332920967,23.54256176251898,176.2281038927598,114.52173070805618,26.29689934669079,107.62062568020922,252.2883141629836,34.035840263188184,111.15418073597066,411.25417848723174,28.242313877195016,79.60797062360909,001,000,56
28,15.961832350399957,5.250182761247822,36.64543965617516,13.914420387409752,7.071305249044486,48.13117464898164,12.790562955557686,3.8581779230845217,25.2111357772825,14.048983546234606,8.73676863653844,42.191775609078704,50.26017386169769,13.602833737541724,105.34420593466997,17.693566451715274,14.611001920806814,53.64588564542753,46.06744564419601,18.50640657594654,97.2114752981843,57.97631499445551,15.330023853201599,76.93126188489502,001,000,58
29,24.14388267453522,6.98194089877146,22.298055227886323,33.62463184499319,12.887823120803588,45.96723703343001,20.94969189097104,11.231077327747476,56.9000084610909,13.634389410836311,7.571914501667917,36.30796660794259,44.232747558516294,11.531163805464038,39.61810353146206,33.271744161303225,6.848140273281954,39.410478113292314,45.55211987551107,9.948250326645528,39.56315694532838,109.4841102609385,17.54111311534649,47.99370495367629,001,000,60
30,140.11042156198457,33.95529821764283,71.02264951621257,124.58789195460233,37.26583271729615,89.46179296202342,121.38481200943592,34.18263559817301,71.51274671967438,169.37498721476027,46.6913741924408,74.66589749817881,298.8085069186397,55.10495792280212,101.78376367867848,152.72495483593988,54.33874740938204,103.45937621482781,310.7337663355861,52.963131612610056,83.65130322546227,667.894957015046,243.7355178990016,342.73576805707063,001,000,62
31,93.18687499503821,32.169591889064,133.23197689163814,177.19540730001307,60.334655498497845,260.4406297866434,131.2592831927392,50.355586564622755,78.19248483531284,148.84316119737278,37.816552290374275,58.20942036873616,94.72573131073446,36.69894955919442,246.60761514101438,178.93314451567534,58.04032736253604,249.75143090802885,625.0837817896147,174.8502722670232,325.4443857906711,757.564557469778,211.37323696748328,367.7557202369719,001,000,64
32,265.37079486270693,76.46453593075721,41.252720410561615,312.5213712011406,94.62346363418307,65.41701097031424,168.75024019810095,11.907847052378273,30.410916787836637,195.74396120548,24.770307611386784,21.803520702347257,293.3411373144114,247.6323717052292,166.85790946021106,268.1623613621754,90.23093603361211,54.59210352814354,619.2527342103118,49.79189663634023,71.170666544112,1634.0050407960996,202.96492451357264,101.47799588510115,001,000,66
33,516.9792001044324,55.369388067620335,83.04860201649835,714.1164060552694,98.17557985305908,169.5034875784759,377.05224047307945,114.0597855194434,295.0313507003689,530.192326271735,52.00457061486344,68.79846402833272,1429.460379585937,178.84153997694204,345.0009976264609,760.3549991785998,112.5902009424577,236.60872573490812,1369.9683833864833,100.82563155469144,64.60050007800322,1757.6106196570067,175.93722580838022,273.47081153217584,001,000,68
34,235.88003660774308,16.227804312045613,35.16461677440656,267.3239683020359,26.53432804939279,100.48318085824425,197.31663245256289,29.36835347868325,100.3919308624424,248.9236474127052,26.554155291127294,21.53960329066767,596.3917891125349,52.62409278549758,76.63314412511419,275.2666407841261,38.72009756010105,96.89609723019161,672.0059276012504,34.30720622318691,26.950704709019394,1280.1235062717246,46.29391812758962,34.54886779818011,001,000,70
35,101.16413875058115,27.74985832222174,50.883030054112645,115.2059380250472,36.74228717527973,80.79912573882,71.60799270927018,16.45165622087688,81.16650914768455,74.20783818192423,28.9346063431567,66.93490886421593,435.3668962875981,166.49246482725312,275.60462506073674,120.79949760854493,88.65113505630055,81.83998528238828,314.24475135670014,75.95765541317576,111.0212203910742,127.58671894345274,22.609434336115875,23.88091025777834,001,000,72
36,10.983767928195931,15.157249528230242,15.718405887189528,9.520874337572604,14.60883341463583,17.82895065702077,12.051984960654709,3.3040258369568183,13.197738748884174,11.914220329382532,3.2647243527465712,12.134964124185514,41.77045269068364,18.819035016850393,32.023041934505386,11.10090392356104,22.92992606264624,17.308563979336856,28.27153719266678,12.818035007214137,23.090794346464826,24.755832499729053,11.220270605881288,19.644235572455727,001,000,74
37,9.273730086750042,11.769787759809647,27.607150394253047,13.865324984965513,22.882468109836328,70.31782076029445,10.537298311359267,8.911671164509228,52.47557789224935,6.745180906133973,7.3193712452255335,8.856654112511643,22.244197792618184,17.491429683535333,66.21799903348027,9.109447218723123,15.527020347523113,74.2391348148245,14.914149736213423,12.38286134887494,33.183568150155615,15.5880887896556,10.892924510332254,25.718963504139595,001,000,76
